IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"11601 MINNETONKA MILLS RD,HOPKINS,MN,55305",2.1666666666666665,0.0,0.0,-93.4266651,44.93497235,0,1
"11601 MINNETONKA MILLS RD,MINNETONKA,MN,55305-5161",6.083333333333332,0.0,0.5833333333333333,-93.4266651,44.93497235,0,1
"11731 STATE HWY,NORTHOME,MN,56661",0.02704497219816329,0.0,0.0,-94.28097509,47.87132929999999,0,1
"118 STATE ST N,WASECA,MN,56093",0.5,0.0,0.0,-93.50736306,44.07821859,0,1
"118 STATE ST N,WASECA,MN,56093-2929",2.333333333333333,0.0,0.0,-93.50736306,44.07820862,0,1
"11800 SINGLETREE LN STE 200,EDEN PRAIRIE,MN,55344-5397",0.25,0.0,0.14285714285714285,-93.42739673,44.85690915,0,1
"11800 SINGLETREE LN STE 300,EDEN PRAIRIE,MN,55344-5398",0.75,0.0,1.5,-93.42739673,44.85690915,0,1
"11800 SINGLETREE LN STE 406,EDEN PRAIRIE,MN,55344-7900",0.0,0.0,0.5,-93.42739673,44.85690915,0,1
"11800 SINGLETREE LN,EDEN PRAIRIE,MN,55344",0.0,0.0,0.14285714285714285,-93.42739673,44.85690915,0,1
"11806 ABERDEEN ST NE STE 150,BLAINE,MN,55449-4748",2.0,0.0,0.3333333333333333,-93.23282914,45.18448369,0,1
"11806 ABERDEEN ST NE STE 240,BLAINE,MN,55449-5136",0.0,0.0,0.3333333333333333,-93.23282914,45.18448369,0,1
"11806 ABERDEEN ST NE STE 260,BLAINE,MN,55449-6256",0.0,0.0,0.6,-93.23282914,45.18448369,0,1
