BOD_addr,general,pediatric,specialist,Latitude,Longitude
"1233 MCINTYRE ST,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.29844179999999,-83.70960339
"1235 N GLENHURST DRIVE,BIRMINGHAM,MI,48009",1.0,0.0,0.0,42.5561983,-83.23925279999997
"1235 W STATE ST,HASTINGS,MI,49058",1.0,0.0,0.0,42.64873856,-85.30472462
"12385 EAST TUSCOLA ROAD,FRANKENMUTH,MI,48734",1.0,0.0,0.0,43.33055662,-83.70992494
"124 HIGH EXCELSIOR,ISHPEMING,MI,49849",1.0,0.0,0.0,46.47923096,-87.67780594
"124 N SAGINAW ST,SUITE C,HOLLY,MI,48442",1.0,0.0,0.0,42.7929982,-83.6271509
"1249 ISLAND DR #201,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.291543299999994,-83.730373
"125 BUCKLEY LANE,BATTLE CREEK,MI,49015",1.0,0.0,0.0,42.27472862,-85.21186457
"125 NORTH MILITARY,DEARBORN,MI,48124",1.0,0.0,0.0,42.31221710000001,-83.25414090000002
"1250 BYRON,HOWELL,MI,48843",1.0,0.0,0.0,42.62000987,-83.94112546
"1250 CAMBRIA DRIVE,EAST LANSING,MI,48823",1.0,0.0,0.0,42.74914317,-84.46491888
"1250 HORSESHOE CIR,APT 106,ANN ARBOR,MI,48108",1.0,0.0,0.0,42.23626886,-83.7541613
"12545 N. ISLAND VIEW DR.,NORTHPORT,MI,49670",1.0,0.0,0.0,45.16727199,-85.63303752
"1255 S. OLD US HIGHWAY 23,BRIGHTON,MI,48114",1.0,0.0,0.0,42.58549945,-83.75358697
"126 HERRICK PARK DRIVE,TECUMSEH,MI,49286",0.0,0.0,1.0,42.011908,-83.9414672
"1261 ISLAND DR,APT 102,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.2911323,-83.729547
"1262 N MACOMB ST,MONROE,MI,48161",1.0,0.0,0.0,41.90803646,-83.47191572
"12662 RILEY ST STE 110,HOLLAND,MI,49424",1.0,0.0,0.0,42.82641847,-86.09492627
"12662 RILEY ST.  #130,HOLLAND,MI,49424",1.0,0.0,0.0,42.82641847,-86.09492627
"127 BEAUBIEN AVE,PETOSKEY,MI,49770",1.0,0.0,0.0,45.3799184,-84.9459401
"12703 NADINE AVE,HUNTINGTON WOODS,MI,48070",1.0,0.0,0.0,42.48365070000001,-83.17351790000002
"12715 W M 179 HWY,WAYLAND,MI,49348",1.0,0.0,0.0,42.63083791,-85.54016268
"12715 WEST M-179 HWY,WAYLAND,MI,49348",1.0,0.0,0.0,42.63083791,-85.54016268
"12723 NORTH BELLWOOD,STE 20,HOLLAND,MI,49424",1.0,0.0,0.0,42.82518506,-86.0973605
"12776 S WEST BAY SHORE DR,TRAVERSE CITY,MI,49684",1.0,0.0,0.0,44.76559260000001,-85.70000902
"12776 S WEST BAYSHORE DRIVE,TRAVERSE CITY,MI,49684",1.0,0.0,0.0,44.76559260000001,-85.70000902
"128 W MICHIGAN AVE,MARSHALL,MI,49068",1.0,0.0,0.0,42.27212708,-84.96052001
"1281 COVINGTON ROAD,BLOOMFIELD HILLS,MI,48301",0.0,0.0,1.0,42.556315999999995,-83.2464493
"12854 PICADILLY DR,STERLING HEIGHTS,MI,48312",1.0,0.0,0.0,42.5763135,-82.9981401
"12920 MARSH ROAD,SHELBYVILLE,MI,49344",0.0,0.0,1.0,42.5908414,-85.5417645
"12947 NORTHLINE,SOUTHGATE,MI,48195",0.0,1.0,0.0,42.2134249,-83.1836813
"12970 DUNHAM RD,HARTLAND,MI,48353",1.0,0.0,0.0,42.64923984,-83.70076036
"12985 NORTHLINE RD,SOUTHGATE,MI,48195",0.0,0.0,1.0,42.2134051,-83.1842189
"12989 RED MAPLE DR,SHELBY TWP,MI,48315",1.0,0.0,0.0,42.6969986,-83.00133609999997
"1299 M-89 SUITE #2,PLAINWELL,MI,49080",0.0,0.0,1.0,42.4505644,-85.6709434
"1299 SOUTH W BAY SHORE DR,SUTTONS BAY,MI,49682",1.0,0.0,0.0,44.97177931,-85.62648312
"130 EAST AVE PO BOX 506,NAPOLEON,MI,49261",1.0,0.0,0.0,42.16307807,-84.24580738
"1300 BEACONSFIELD,GROSSE POINTE PARK,MI,48230",0.0,0.0,1.0,42.3841012,-82.9395588
"13006 PENINSULA DR,TRAVERSE CITY,MI,496869703",0.0,0.0,1.0,44.8770626,-85.5304588
"1301 ORLEANS ST APT #1712 EAST,DETROIT,MI,48207",1.0,0.0,0.0,42.3399334,-83.0327649
"1301 ORLEANS ST,APT 502 EAST,DETROIT,MI,48207",1.0,0.0,0.0,42.3399334,-83.0327649
"1302 STATE STREET,SAINT JOSEPH,MI,49085",1.0,0.0,0.0,42.10141815,-86.48814605
"13025 HARBOR LANDINGS DR,FENTON,MI,48430",1.0,0.0,0.0,42.8402118,-83.7332119
"1303 PACKARD,ANN ARBOR,MI,48104",0.0,0.0,1.0,42.2650168,-83.73380809999998
"1307 COLLEGEWOOD ST,YPSILANTI,MI,48197",1.0,0.0,0.0,42.25196498,-83.63087028
"1307 N ALEXANDER,ROYAL OAK,MI,48067",1.0,0.0,0.0,42.501174799999994,-83.1345903
"1307 PRESCOTT,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.2648523,-83.7553801
"131 E. COLUMBIA AVE,STE 101,BATTLE CREEK,MI,49015",1.0,0.0,0.0,42.29865524,-85.19582778
"131 IROQUOIS STREET,BATTLE CREEK,MI,49015",1.0,0.0,0.0,42.30102091,-85.20004873
"1310 S. MAIN STREET,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.265252399999994,-83.7505058
"13109 SCHAVEY ROAD,STE. 1,DEWITT,MI,48820",0.0,0.0,1.0,42.82624583,-84.58864496
"13131 IRVINE BLVD,OAK PARK,MI,48237",1.0,0.0,0.0,42.4640593,-83.1781498
"1314 WEST MILHAM AVENUE,PORTAGE,MI,49024",0.0,0.0,1.0,42.23018195,-85.60474771
"1315 NORTH BAY DRIVE,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.264986900000004,-83.7890465
"13173 SCHAVEY ROAD,DEWITT,MI,48820",1.0,0.0,0.0,42.82539235,-84.58865586
"13196 WHITE PINE DR,DEWITT,MI,48820",1.0,0.0,0.0,42.82490733,-84.59760152
"13205 E 14 MILE ROAD,STERLING HEIGHTS,MI,48312",0.0,0.0,1.0,42.5384347,-82.9928197
"1321 ORLEANS ST APT 1813,DETROIT,MI,48207",1.0,0.0,0.0,42.34068379,-83.03212097
"1321 SOUTH M-33,MIO,MI,48647",1.0,0.0,0.0,44.65890981,-84.10482732
"13235 ROHN RD,FENTON,MI,48430",1.0,0.0,0.0,42.72456856,-83.69686204
"13250 HIDDEN CREEK DR.,PLYMOUTH,MI,48170",1.0,0.0,0.0,42.37626692,-83.48959763
