County_ID,County_Name,State_ID,State_Name,n^M_i,n^H_i,n^U_i,n^O_i,p_i,PREDICTED_DEMAND,STATE_FIPS,COUNTY_FIPS,County_Population_2010,RUCC_2013,NUM_DENTISTS,ACCEPTS_MED,ACCEPTS_CHIP,ACCEPTS_MED_CHIP,ONLY_PRIVATE,NUM_GENERALIST,NUM_SPECIALIST,NUM_PEDIATRITION,NUM_MED_GENERALIST,NUM_MED_SPECIALIST,NUM_MED_PEDIATRITION,NUM_CHIP_GENERALIST,NUM_CHIP_SPECIALIST,NUM_CHIP_PEDIATRITION,NUM_MED_CHIP_GENERALIST,NUM_MED_CHIP_SPECIALIST,NUM_MED_CHIP_PEDIATRITION,PUBLIC_DENTIST_RATIO,PREDICTED_SUPPLY,PUBLIC_AVAILABILITY_RATIO,label
141,Van Buren County,5,Arkansas,1684,465.8,895.2,274,3319,3.530844156,5,141,0,8,5,4,4,4,1,5,0,0,4,0,0,4,0,0,4,0,0,0.8,0.88,0.249232184,0
143,Washington County,5,Arkansas,19047,9218.12,14886.88,13061,56213,50.03710575,5,143,0,2,145.5,63.5,63.5,63.5,82,114.5,25,6,42.5,15,6,42.5,15,6,42.5,15,6,0.436426117,14.39,0.287586578,-1
145,White County,5,Arkansas,6356,2702.16,6087.84,2998,18144,17.56261596,5,145,0,4,29,17,17,17,12,25,3,1,14,3,0,14,3,0,14,3,0,0.586206897,3.08,0.175372508,6
147,Woodruff County,5,Arkansas,566,147.04,384.96,224,1322,1.273191095,5,147,0,9,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.22,0.172794171,0
149,Yell County,5,Arkansas,2556,941.12,1303.88,534,5335,5.567022263,5,149,0,6,5,3,3,3,2,5,0,0,3,0,0,3,0,0,3,0,0,0.6,0.66,0.118555301,0
1,Kent County,10,Delaware,12216,7304.02,10790.98,9358,39669,35.14726345,10,1,0,3,49.95,36.95,36.95,36.95,13,38.45,10,1.5,27.45,9,0.5,27.45,9,0.5,27.45,9,0.5,0.73973974,6.459,0.183769641,-1
3,New Castle County,10,Delaware,25285.5,15324.91,32281.59,46237,119129,84.52226345,10,3,0,1,228.1333333,190.1333333,190.1333333,190.1333333,38,177.2166667,41.41666667,9.5,149.2166667,31.41666667,9.5,149.2166667,31.41666667,9.5,149.2166667,31.41666667,9.5,0.833430742,40.80766667,0.482803761,-1
5,Sussex County,10,Delaware,12004,7915.56,11903.44,9060,40883,36.9005102,10,5,0,2,41.91666667,32.91666667,32.91666667,32.91666667,9,34.08333333,6.833333333,1,27.08333333,4.833333333,1,27.08333333,4.833333333,1,27.08333333,4.833333333,1,0.78528827,6.798333333,0.184234128,-1
1,Adams County,18,Indiana,4437,2287.06,2505.94,1398,10628,10.70269017,18,1,0,6,12.5,6.5,6.5,6.5,6,12.5,0,0,6.5,0,0,6.5,0,0,6.5,0,0,0.52,1.43,0.133611268,0
3,Allen County,18,Indiana,36417.25,18422.81,19769.94,19794,94404,86.51437848,18,3,0,2,221.7753141,63.77531415,63.77531415,63.77531415,158,198.1455162,21.14444444,2.485353535,57.14551617,6.144444444,0.485353535,57.14551617,6.144444444,0.485353535,57.14551617,6.144444444,0.485353535,0.287567236,12.97971053,0.150029518,-1
